AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;;;;;;;;;;;;;
01152SJ   ;09/09/2012;22528_PRCH;22528;I;4;1785,2668;0;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;17/11/2012;2;9;I;9;1770;4270,5;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;17/10/2012;22528_PRCH;22528;I;1;1743,6792;0;Casino;;;;;;;;;;;;;;;;
01148BP   ;29/10/2012;2;9;I;6;1737,5;1806,25;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;20/10/2012;22527_PRCH;22527;I;6;1705,9773;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;15/09/2012;2;9;I;8;1700,13;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;11/10/2012;2;9;I;6;1700;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;20/10/2012;46;5;I;7;1700;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;17/10/2012;2;9;N;4;1680;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;09/12/2012;22527_PRCH;22527;I;2;1644,7409;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;12/11/2012;612;0;I;351;1640;1325,25;Games;;;;;;;;;;;;;;;;
01148BP   ;15/09/2012;2;9;M;5;1640;1640;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;02/12/2012;2;9;I;5;1600;2450;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;18/10/2012;3;8;I;4;1595;2745;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;02/11/2012;22512_XFER;22512;I;437;1580;1337,1;Vegas;;;;;;;;;;;;;;;;
01152SJ   ;30/11/2012;22527_PRCH;22527;I;1;1562,0119;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;15/10/2012;22527_PRCH;22527;I;2;1557,7677;0;Poker;;;;;;;;;;;;;;;;
01284UW   ;23/12/2012;46;5;I;33;1554;1369,69;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;22/09/2012;2;9;I;5;1550;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;03/11/2012;2;9;I;3;1550;0;Sportsbook;;;;;;;;;;;;;;;;
00497XG   ;30/12/2012;638;0;I;617;1540,05;1295,26;Games;;;;;;;;;;;;;;;;
01152SJ   ;01/09/2012;22528_PRCH;22528;I;3;1516,7794;0;Casino;;;;;;;;;;;;;;;;
00C017    ;23/11/2012;22527_PRCH;22527;I;4;1500;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;23/11/2012;2;9;N;4;1500;900;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;04/10/2012;22528_PRCH;22528;I;3;1479,4054;0;Casino;;;;;;;;;;;;;;;;
01148BP   ;07/09/2012;2;9;I;4;1450;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;07/12/2012;2;9;N;2;1450;2200;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;02/12/2012;22527_PRCH;22527;I;1;1436,9968;0;Poker;;;;;;;;;;;;;;;;
01196ZZ   ;17/11/2012;3;8;I;9;1414;550;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;24/11/2012;2;9;I;12;1412;406,5;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;18/11/2012;2;9;I;5;1408,13;1556,88;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;06/09/2012;2;9;I;4;1400;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;17/12/2012;22512_XFER;22512;I;16;1400;900;Vegas;;;;;;;;;;;;;;;;
01152SJ   ;10/12/2012;22528_PRCH;22528;I;1;1355,7315;0;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;15/10/2012;2;9;I;5;1348;3773,25;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;21/11/2012;2;9;I;3;1337,5;900;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;20/10/2012;2;9;I;5;1315;1275;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;08/12/2012;22527_PRCH;22527;I;1;1309,9826;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;18/10/2012;22528_PRCH;22528;I;5;1306,1579;0;Casino;;;;;;;;;;;;;;;;
01148BP   ;05/12/2012;2;9;N;3;1300;3600;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;01/10/2012;2;9;N;4;1275;550;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;26/11/2012;22512_XFER;22512;I;25;1270;1200;Vegas;;;;;;;;;;;;;;;;
01152SJ   ;14/10/2012;22527_PRCH;22527;I;2;1261,1322;0;Poker;;;;;;;;;;;;;;;;
01148BP   ;05/10/2012;2;9;I;9;1250;650;Sportsbook;;;;;;;;;;;;;;;;
00C017    ;21/12/2012;22527_PRCH;22527;I;5;1230;0;Poker;;;;;;;;;;;;;;;;
01196ZZ   ;23/10/2012;22512_XFER;22512;I;613;1225,6;901,1;Vegas;;;;;;;;;;;;;;;;
01148BP   ;27/10/2012;2;9;M;3;1225;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;06/12/2012;2;9;M;7;1200;500;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;24/11/2012;2;9;I;4;1200;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;17/10/2012;3;8;I;10;1200;1425;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;16/11/2012;2;9;I;3;1200;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;11/10/2012;46;5;I;1;1200;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;07/12/2012;22528_PRCH;22528;I;1;1181,1464;0;Casino;;;;;;;;;;;;;;;;
00497XG   ;31/12/2012;638;0;I;817;1180,12;590,33;Games;;;;;;;;;;;;;;;;
00J381    ;03/10/2012;2;9;M;9;1165;1725;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;23/11/2012;2;9;M;4;1150;1000;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;15/11/2012;635;0;I;204;1134;918,5;Games;;;;;;;;;;;;;;;;
01148BP   ;25/10/2012;2;9;N;3;1132,42;0;Sportsbook;;;;;;;;;;;;;;;;
00497XG   ;31/12/2012;601;0;I;256;1130,8;912,28;Games;;;;;;;;;;;;;;;;
01196ZZ   ;23/10/2012;3;8;I;5;1130;1350;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;08/09/2012;2;9;I;7;1125;525;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;04/11/2012;46;5;I;41;1125;996;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;04/12/2012;22527_PRCH;22527;I;13;1121,0344;0;Poker;;;;;;;;;;;;;;;;
01152SJ   ;04/11/2012;22527_PRCH;22527;I;9;1119,2637;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;13/11/2012;613;0;I;182;1114,75;649,15;Games;;;;;;;;;;;;;;;;
01152SJ   ;04/12/2012;22528_PRCH;22528;I;5;1105,4211;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;13/10/2012;22528_PRCH;22528;I;1;1060,9748;0;Casino;;;;;;;;;;;;;;;;
01152SJ   ;05/11/2012;22528_PRCH;22528;I;1;1060,8424;0;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;20/10/2012;2;9;I;7;1050;0;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;15/10/2012;3;8;I;6;1047;700;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;22/10/2012;46;5;I;3;1030;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;23/10/2012;275;5;I;6;1025;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;18/10/2012;22527_PRCH;22527;I;3;1024,3583;0;Poker;;;;;;;;;;;;;;;;
00J381    ;30/09/2012;2;9;M;6;1015,78;3547,1;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;26/12/2012;22528_PRCH;22528;I;2;1013,6139;0;Casino;;;;;;;;;;;;;;;;
