AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
00775SM   ;30/09/2012;22508_RTNS;22508;I;0;0;346;Bingo;;;;;;;;;;;;;;;;
00775SM   ;01/10/2012;BONS_GAM;0;I;0;0;2,5;Games;;;;;;;;;;;;;;;;
00775SM   ;07/10/2012;22508_RTNS;22508;I;0;0;526;Bingo;;;;;;;;;;;;;;;;
00775SM   ;17/10/2012;BONS_VEGA;0;I;0;0;3;Vegas;;;;;;;;;;;;;;;;
00C017    ;07/09/2012;22527_SALE;22527;I;0;0;200;Poker;;;;;;;;;;;;;;;;
00C017    ;10/09/2012;22508_RTNS;22508;I;0;0;524,43;Bingo;;;;;;;;;;;;;;;;
00C017    ;10/09/2012;22527_SALE;22527;I;0;0;900;Poker;;;;;;;;;;;;;;;;
00C017    ;28/09/2012;22508_RTNS;22508;I;0;0;255,66;Bingo;;;;;;;;;;;;;;;;
00C017    ;28/09/2012;22527_SALE;22527;I;0;0;400;Poker;;;;;;;;;;;;;;;;
00C017    ;29/09/2012;22527_SALE;22527;I;0;0;100;Poker;;;;;;;;;;;;;;;;
00C017    ;11/10/2012;22527_SALE;22527;I;0;0;250;Poker;;;;;;;;;;;;;;;;
00C017    ;19/10/2012;22527_SALE;22527;I;0;0;100;Poker;;;;;;;;;;;;;;;;
00C017    ;19/10/2012;22508_RTNS;22508;I;0;0;0;Bingo;;;;;;;;;;;;;;;;
00C017    ;26/10/2012;22527_SALE;22527;I;0;0;200;Poker;;;;;;;;;;;;;;;;
00C017    ;12/11/2012;22527_SALE;22527;I;0;0;1500;Poker;;;;;;;;;;;;;;;;
00C017    ;18/11/2012;22527_SALE;22527;I;0;0;4000;Poker;;;;;;;;;;;;;;;;
00C017    ;24/11/2012;22527_SALE;22527;I;0;0;200;Poker;;;;;;;;;;;;;;;;
00C017    ;25/11/2012;22527_SALE;22527;I;0;0;500;Poker;;;;;;;;;;;;;;;;
00C017    ;30/11/2012;22527_SALE;22527;I;0;0;1000;Poker;;;;;;;;;;;;;;;;
00C017    ;01/12/2012;22527_SALE;22527;I;0;0;1000;Poker;;;;;;;;;;;;;;;;
00C017    ;02/12/2012;22508_RTNS;22508;I;0;0;233;Bingo;;;;;;;;;;;;;;;;
00C017    ;14/12/2012;22527_SALE;22527;I;0;0;500;Poker;;;;;;;;;;;;;;;;
00C017    ;21/12/2012;22527_SALE;22527;I;0;0;500;Poker;;;;;;;;;;;;;;;;
00C017    ;29/12/2012;22508_RTNS;22508;I;0;0;34;Bingo;;;;;;;;;;;;;;;;
00C017    ;29/12/2012;22527_SALE;22527;I;0;0;600;Poker;;;;;;;;;;;;;;;;
00J381    ;11/09/2012;45;17;M;0;0;460,89;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;23/09/2012;5;11;M;0;0;1194;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;30/09/2012;385;6;M;0;0;280;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;08/10/2012;40;6;M;0;0;511,31;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;08/11/2012;2;9;M;1;0;0;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;25/11/2012;40;6;M;0;0;474,31;Sportsbook;;;;;;;;;;;;;;;;
00J381    ;09/12/2012;42;4;M;0;0;610;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;17/10/2012;GWIL_SPRT;0;I;0;0;800;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;20/11/2012;BETC_RET;0;I;0;0;500;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;09/12/2012;BONS_SPRB;0;I;0;0;100;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;01/09/2012;22527_SALE;22527;I;0;0;884,788;Poker;;;;;;;;;;;;;;;;
01152SJ   ;01/09/2012;22528_SALE;22528;I;0;0;631,9914;Casino;;;;;;;;;;;;;;;;
01152SJ   ;04/09/2012;22527_SALE;22527;I;0;0;509,8954;Poker;;;;;;;;;;;;;;;;
01152SJ   ;04/09/2012;22528_SALE;22528;I;0;0;630,2786;Casino;;;;;;;;;;;;;;;;
01152SJ   ;06/09/2012;22527_SALE;22527;I;0;0;586,717;Poker;;;;;;;;;;;;;;;;
01152SJ   ;08/09/2012;22527_SALE;22527;I;0;0;1508,2825;Poker;;;;;;;;;;;;;;;;
01152SJ   ;08/09/2012;22528_SALE;22528;I;0;0;565,6067;Casino;;;;;;;;;;;;;;;;
01152SJ   ;09/09/2012;22527_SALE;22527;I;0;0;1628,6644;Poker;;;;;;;;;;;;;;;;
01152SJ   ;09/09/2012;22528_SALE;22528;I;0;0;1002,2551;Casino;;;;;;;;;;;;;;;;
01152SJ   ;14/09/2012;22527_SALE;22527;I;0;0;374,4562;Poker;;;;;;;;;;;;;;;;
01152SJ   ;15/09/2012;22528_SALE;22528;I;0;0;124,0926;Casino;;;;;;;;;;;;;;;;
01152SJ   ;19/09/2012;22527_SALE;22527;I;0;0;123,2058;Poker;;;;;;;;;;;;;;;;
01152SJ   ;23/09/2012;22528_SALE;22528;I;0;0;12,3084;Casino;;;;;;;;;;;;;;;;
01152SJ   ;26/09/2012;22527_SALE;22527;I;0;0;645,7383;Poker;;;;;;;;;;;;;;;;
01152SJ   ;26/09/2012;22528_SALE;22528;I;0;0;214,0126;Casino;;;;;;;;;;;;;;;;
01152SJ   ;01/10/2012;22528_SALE;22528;I;0;0;620,0903;Casino;;;;;;;;;;;;;;;;
01152SJ   ;04/10/2012;22528_SALE;22528;I;0;0;920,4088;Casino;;;;;;;;;;;;;;;;
01152SJ   ;04/10/2012;22527_SALE;22527;I;0;0;864,3543;Poker;;;;;;;;;;;;;;;;
01152SJ   ;11/10/2012;22527_SALE;22527;I;0;0;374,5318;Poker;;;;;;;;;;;;;;;;
01152SJ   ;13/10/2012;22527_SALE;22527;I;0;0;1060,9748;Poker;;;;;;;;;;;;;;;;
01152SJ   ;13/10/2012;22528_SALE;22528;I;0;0;400,0499;Casino;;;;;;;;;;;;;;;;
01152SJ   ;14/10/2012;22527_SALE;22527;I;0;0;2365,0121;Poker;;;;;;;;;;;;;;;;
01152SJ   ;14/10/2012;22528_SALE;22528;I;0;0;949,7415;Casino;;;;;;;;;;;;;;;;
01152SJ   ;15/10/2012;22528_SALE;22528;I;0;0;1557,7677;Casino;;;;;;;;;;;;;;;;
01152SJ   ;15/10/2012;22527_SALE;22527;I;0;0;2115,3487;Poker;;;;;;;;;;;;;;;;
01152SJ   ;16/10/2012;22527_SALE;22527;I;0;0;2239,781;Poker;;;;;;;;;;;;;;;;
01152SJ   ;16/10/2012;22528_SALE;22528;I;0;0;2177,5649;Casino;;;;;;;;;;;;;;;;
01152SJ   ;17/10/2012;22527_SALE;22527;I;0;0;4110,1009;Poker;;;;;;;;;;;;;;;;
01152SJ   ;17/10/2012;22528_SALE;22528;I;0;0;1743,6792;Casino;;;;;;;;;;;;;;;;
01152SJ   ;18/10/2012;22527_SALE;22527;I;0;0;1120,6735;Poker;;;;;;;;;;;;;;;;
01152SJ   ;18/10/2012;22528_SALE;22528;I;0;0;961,2875;Casino;;;;;;;;;;;;;;;;
01152SJ   ;19/10/2012;22527_SALE;22527;I;0;0;171,9011;Poker;;;;;;;;;;;;;;;;
01152SJ   ;20/10/2012;22528_SALE;22528;I;0;0;930,9276;Casino;;;;;;;;;;;;;;;;
01152SJ   ;25/10/2012;22527_SALE;22527;I;0;0;1188,54;Poker;;;;;;;;;;;;;;;;
01152SJ   ;25/10/2012;22528_SALE;22528;I;0;0;3502,2833;Casino;;;;;;;;;;;;;;;;
01152SJ   ;27/10/2012;22527_SALE;22527;I;0;0;623,6014;Poker;;;;;;;;;;;;;;;;
01152SJ   ;30/10/2012;22527_SALE;22527;I;0;0;215,4744;Poker;;;;;;;;;;;;;;;;
01152SJ   ;30/10/2012;22528_SALE;22528;I;0;0;125,4347;Casino;;;;;;;;;;;;;;;;
01152SJ   ;04/11/2012;22527_SALE;22527;I;0;0;186,544;Poker;;;;;;;;;;;;;;;;
01152SJ   ;04/11/2012;22528_SALE;22528;I;0;0;621,8132;Casino;;;;;;;;;;;;;;;;
01152SJ   ;05/11/2012;22527_SALE;22527;I;0;0;1060,8424;Poker;;;;;;;;;;;;;;;;
01152SJ   ;28/11/2012;22527_SALE;22527;I;0;0;624,1808;Poker;;;;;;;;;;;;;;;;
01152SJ   ;28/11/2012;22528_SALE;22528;I;0;0;561,7627;Casino;;;;;;;;;;;;;;;;
01152SJ   ;30/11/2012;22528_SALE;22528;I;0;0;1562,0119;Casino;;;;;;;;;;;;;;;;
01152SJ   ;01/12/2012;22527_SALE;22527;I;0;0;5451,3013;Poker;;;;;;;;;;;;;;;;
01152SJ   ;01/12/2012;22528_SALE;22528;I;0;0;3370,3864;Casino;;;;;;;;;;;;;;;;
01152SJ   ;02/12/2012;22528_SALE;22528;I;0;0;1436,9968;Casino;;;;;;;;;;;;;;;;
01152SJ   ;03/12/2012;22528_SALE;22528;I;0;0;3622,2833;Casino;;;;;;;;;;;;;;;;
01152SJ   ;03/12/2012;22527_SALE;22527;I;0;0;3622,2833;Poker;;;;;;;;;;;;;;;;
01152SJ   ;04/12/2012;22527_SALE;22527;I;0;0;905,5709;Poker;;;;;;;;;;;;;;;;
01152SJ   ;04/12/2012;22528_SALE;22528;I;0;0;103,0477;Casino;;;;;;;;;;;;;;;;
01152SJ   ;06/12/2012;22527_SALE;22527;I;0;0;756,3808;Poker;;;;;;;;;;;;;;;;
01152SJ   ;06/12/2012;22528_SALE;22528;I;0;0;400,5465;Casino;;;;;;;;;;;;;;;;
01152SJ   ;07/12/2012;22527_SALE;22527;I;0;0;1181,1464;Poker;;;;;;;;;;;;;;;;
01152SJ   ;07/12/2012;22528_SALE;22528;I;0;0;870,0242;Casino;;;;;;;;;;;;;;;;
01152SJ   ;08/12/2012;22528_SALE;22528;I;0;0;1309,9826;Casino;;;;;;;;;;;;;;;;
01152SJ   ;09/12/2012;22527_SALE;22527;I;0;0;1870,4408;Poker;;;;;;;;;;;;;;;;
01152SJ   ;09/12/2012;22528_SALE;22528;I;0;0;1644,7409;Casino;;;;;;;;;;;;;;;;
01152SJ   ;10/12/2012;22527_SALE;22527;I;0;0;1355,7315;Poker;;;;;;;;;;;;;;;;
01152SJ   ;11/12/2012;22528_SALE;22528;I;0;0;313,2207;Casino;;;;;;;;;;;;;;;;
01152SJ   ;12/12/2012;22527_SALE;22527;I;0;0;1059,388;Poker;;;;;;;;;;;;;;;;
01152SJ   ;17/12/2012;22528_SALE;22528;I;0;0;135,7116;Casino;;;;;;;;;;;;;;;;
01152SJ   ;18/12/2012;22527_SALE;22527;I;0;0;279,4609;Poker;;;;;;;;;;;;;;;;
01152SJ   ;18/12/2012;22528_SALE;22528;I;0;0;137,5665;Casino;;;;;;;;;;;;;;;;
01152SJ   ;26/12/2012;22527_SALE;22527;I;0;0;456,6832;Poker;;;;;;;;;;;;;;;;
01152SJ   ;26/12/2012;22528_SALE;22528;I;0;0;493,5025;Casino;;;;;;;;;;;;;;;;
01152SJ   ;27/12/2012;22527_SALE;22527;I;0;0;1859,4459;Poker;;;;;;;;;;;;;;;;
01152SJ   ;27/12/2012;22528_SALE;22528;I;0;0;806,0617;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;24/09/2012;22522_SALE;22522;I;0;0;25;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;20/10/2012;22528_SALE;22528;I;0;0;190;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;23/10/2012;22522_SALE;22522;I;0;0;25;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;24/11/2012;22522_SALE;22522;I;0;0;45;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;28/11/2012;22528_SALE;22528;I;0;0;375;Casino;;;;;;;;;;;;;;;;
01196ZZ   ;08/12/2012;22522_SALE;22522;I;0;0;25;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;15/12/2012;22522_SALE;22522;I;0;0;25;Vegas;;;;;;;;;;;;;;;;
01196ZZ   ;19/12/2012;22522_SALE;22522;I;0;0;20;Vegas;;;;;;;;;;;;;;;;
01284UW   ;15/10/2012;274;5;I;0;0;10003,5;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;05/11/2012;424;17;I;1;0;0;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;21/12/2012;46;5;I;0;0;103,71;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;04/10/2012;2;9;I;2;-300;0;Sportsbook;;;;;;;;;;;;;;;;
