AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
01148BP   ;20/10/2012;2;9;I;5;1315;1275;Sportsbook;;;;01148BP   ;1300;Sportsbook;;;;;;;;;;
01152SJ   ;08/12/2012;22527_PRCH;22527;I;1;1309,9826;0;Poker;;;;01148BP   ;1275;Sportsbook;;;;;;;;;;
01152SJ   ;18/10/2012;22528_PRCH;22528;I;5;1306,1579;0;Casino;;;;01148BP   ;1270;Vegas;;;;;;;;;;
01148BP   ;05/12/2012;2;9;N;3;1300;3600;Sportsbook;;;;01152SJ   ;1261,1322;Poker;;;;;;;;;;
01148BP   ;01/10/2012;2;9;N;4;1275;550;Sportsbook;;;;01148BP   ;1250;Sportsbook;;;;;;;;;;
01148BP   ;26/11/2012;22512_XFER;22512;I;25;1270;1200;Vegas;;;;00C017    ;1230;Poker;;;;;;;;;;
01152SJ   ;14/10/2012;22527_PRCH;22527;I;2;1261,1322;0;Poker;;;;01196ZZ   ;1225,6;Vegas;;;;;;;;;;
01148BP   ;05/10/2012;2;9;I;9;1250;650;Sportsbook;;;;01148BP   ;1225;Sportsbook;;;;;;;;;;
00C017    ;21/12/2012;22527_PRCH;22527;I;5;1230;0;Poker;;;;00J381    ;1200;Sportsbook;;;;;;;;;;
01196ZZ   ;23/10/2012;22512_XFER;22512;I;613;1225,6;901,1;Vegas;;;;01148BP   ;1200;Sportsbook;;;;;;;;;;
01148BP   ;27/10/2012;2;9;M;3;1225;0;Sportsbook;;;;01196ZZ   ;1200;Sportsbook;;;;;;;;;;
00J381    ;06/12/2012;2;9;M;7;1200;500;Sportsbook;;;;01284UW   ;1200;Sportsbook;;;;;;;;;;
01148BP   ;24/11/2012;2;9;I;4;1200;0;Sportsbook;;;;01152SJ   ;1181,1464;Casino;;;;;;;;;;
01196ZZ   ;17/10/2012;3;8;I;10;1200;1425;Sportsbook;;;;00497XG   ;1180,12;Games;;;;;;;;;;
01196ZZ   ;16/11/2012;2;9;I;3;1200;0;Sportsbook;;;;00J381    ;1165;Sportsbook;;;;;;;;;;
01284UW   ;11/10/2012;46;5;I;1;1200;0;Sportsbook;;;;01148BP   ;1150;Sportsbook;;;;;;;;;;
01152SJ   ;07/12/2012;22528_PRCH;22528;I;1;1181,1464;0;Casino;;;;00357DG   ;1134;Games;;;;;;;;;;
00497XG   ;31/12/2012;638;0;I;817;1180,12;590,33;Games;;;;01148BP   ;1132,42;Sportsbook;;;;;;;;;;
00J381    ;03/10/2012;2;9;M;9;1165;1725;Sportsbook;;;;00497XG   ;1130,8;Games;;;;;;;;;;
01148BP   ;23/11/2012;2;9;M;4;1150;1000;Sportsbook;;;;01196ZZ   ;1130;Sportsbook;;;;;;;;;;
00357DG   ;15/11/2012;635;0;I;204;1134;918,5;Games;;;;01148BP   ;1125;Sportsbook;;;;;;;;;;
01148BP   ;25/10/2012;2;9;N;3;1132,42;0;Sportsbook;;;;01284UW   ;1125;Sportsbook;;;;;;;;;;
00497XG   ;31/12/2012;601;0;I;256;1130,8;912,28;Games;;;;01152SJ   ;1121,0344;Poker;;;;;;;;;;
